0,1
CHINA,"4,101,844"
UNITED STATES,"3,409,237"
PHILIPPINES,"2,300,208"
BRAZIL,"1,557,297"
UNITED KINGDOM,"1,310,812"
RUSSIA,"1,097,159"
ITALY,"819,751"
MEXICO,"785,668"
INDIA,"701,796"
FRANCE,"540,676"
INDONESIA,"415,663"
CANADA,"334,210"
UKRAINE,"333,918"
SPAIN,"328,235"
GERMANY,"326,912"
MALAYSIA,"276,513"
SOUTH KOREA,"276,157"
AUSTRALIA,"273,089"
KAZAKHSTAN,"239,263"
PERU,"219,588"
COLOMBIA,"203,250"
POLAND,"200,351"
TURKEY,"195,359"
ARGENTINA,"187,116"
CHILE,"172,045"
ECUADOR,"115,011"
CZECHIA,"114,555"
IRAN,"113,890"
VIETNAM,"109,099"
PORTUGAL,"104,859"
IRELAND,"95,152"
TAIWAN,"89,743"
SWEDEN,"88,001"
BELARUS,"87,300"
ROMANIA,"80,610"
BELGIUM,"77,196"
ARMENIA,"73,526"
HONG KONG SAR CHINA,"73,150"
THAILAND,"72,878"
NETHERLANDS,"67,167"
GREECE,"63,450"
BANGLADESH,"61,578"
SOUTH AFRICA,"59,335"
AFGHANISTAN,"58,884"
EGYPT,"57,305"
UZBEKISTAN,"56,998"
HUNGARY,"54,408"
SAUDI ARABIA,"50,245"
AUSTRIA,"49,852"
ALBANIA,"49,553"
ALGERIA,"49,470"
COSTA RICA,"48,450"
UNITED ARAB EMIRATES,"47,342"
NEW ZEALAND,"43,774"
SWITZERLAND,"43,774"
JAPAN,"41,505"
ISRAEL,"40,349"
BOLIVIA,"39,695"
SLOVAKIA,"39,300"
AZERBAIJAN,"37,471"
GUATEMALA,"37,270"
VENEZUELA,"36,089"
SINGAPORE,"35,675"
SERBIA,"35,547"
CROATIA,"33,143"
NORWAY,"32,483"
PAKISTAN,"31,755"
MOROCCO,"31,698"
AMERICAN SAMOA,"31,127"
DENMARK,"30,862"
KYRGYZSTAN,"29,678"
FINLAND,"28,600"
IRAQ,"28,260"
BULGARIA,"26,736"
ANDORRA,"25,835"
EL SALVADOR,"23,438"
MOLDOVA,"23,268"
GEORGIA,"21,975"
PANAMA,"21,921"
LITHUANIA,"21,663"
HONDURAS,"21,556"
LEBANON,"21,221"
PUERTO RICO,"21,069"
BOSNIA & HERZEGOVINA,"20,657"
JORDAN,"19,633"
LATVIA,"18,871"
NEPAL,"18,794"
DOMINICAN REPUBLIC,"18,452"
SRI LANKA,"17,200"
PARAGUAY,"16,261"
URUGUAY,"16,143"
ANGOLA,"15,989"
TUNISIA,"15,212"
ESTONIA,"13,125"
TRINIDAD & TOBAGO,"12,165"
ANTARCTICA,"10,658"
NICARAGUA,"10,518"
SLOVENIA,"10,088"
ANGUILLA,"10,005"
KUWAIT,"9,723"
MYANMAR (BURMA),"9,558"
CYPRUS,"8,685"
BAHRAIN,"8,512"
NORTH MACEDONIA,"8,480"
ARUBA,"7,851"
NORTH KOREA,"7,733"
SYRIA,"7,726"
BAHAMAS,"7,704"
KOSOVO,"7,670"
CANARY ISLANDS,"7,468"
QATAR,"7,368"
ASCENSION ISLAND,"6,665"
MACAO SAR CHINA,"6,379"
MALDIVES,"6,338"
ANTIGUA & BARBUDA,"6,178"
NIGERIA,"5,798"
PALESTINIAN TERRITORIES,"5,696"
OMAN,"5,691"
MALTA,"5,572"
CAMBODIA,"5,544"
KENYA,"4,881"
BRUNEI,"4,773"
MONTENEGRO,"4,569"
GUYANA,"4,547"
LUXEMBOURG,"3,673"
TANZANIA,"3,653"
MAURITIUS,"3,590"
RÉUNION,"3,452"
ZIMBABWE,"3,431"
CUBA,"3,350"
ICELAND,"3,221"
CHRISTMAS ISLAND,"3,210"
BELIZE,"3,144"
MONGOLIA,"3,116"
YEMEN,"3,028"
LIBYA,"2,931"
TAJIKISTAN,"2,873"
JAMAICA,"2,710"
BRITISH VIRGIN ISLANDS,"2,629"
SUDAN,"2,612"
GHANA,"2,556"
ETHIOPIA,"2,291"
TURKMENISTAN,"2,148"
CHAD,"2,119"
BHUTAN,"2,093"
BARBADOS,"2,076"
BERMUDA,"1,780"
GUAM,"1,731"
BRITISH INDIAN OCEAN TERRITORY,"1,703"
FIJI,"1,605"
BOTSWANA,"1,576"
JERSEY,"1,526"
FRENCH POLYNESIA,"1,507"
MADAGASCAR,"1,481"
ISLE OF MAN,"1,406"
NIGER,"1,326"
ZAMBIA,"1,264"
BENIN,"1,246"
GUADELOUPE,"1,225"
UGANDA,"1,215"
CAPE VERDE,"1,177"
SURINAME,"1,167"
CAMEROON,"1,167"
CARIBBEAN NETHERLANDS,"1,129"
FRENCH GUIANA,"1,124"
CEUTA & MELILLA,"1,104"
MONACO,"1,103"
CAYMAN ISLANDS,"1,097"
CÔTE D’IVOIRE,"1,096"
MARTINIQUE,981
BURUNDI,973
GIBRALTAR,953
MOZAMBIQUE,946
GUERNSEY,917
DOMINICA,914
FRENCH SOUTHERN TERRITORIES,873
CENTRAL AFRICAN REPUBLIC,867
BURKINA FASO,854
NEW CALEDONIA,853
SENEGAL,818
U.S. VIRGIN ISLANDS,785
NAMIBIA,765
CURAÇAO,763
LAOS,758
NORTHERN MARIANA ISLANDS,749
COCOS (KEELING) ISLANDS,694
GREENLAND,655
VATICAN CITY,642
CONGO - KINSHASA,625
SOMALIA,612
HAITI,593
RWANDA,553
COMOROS,512
COOK ISLANDS,504
MALI,500
CONGO - BRAZZAVILLE,492
MALAWI,476
GABON,474
MARSHALL ISLANDS,468
SOUTH SUDAN,462
SAN MARINO,452
GRENADA,451
EQUATORIAL GUINEA,438
PITCAIRN ISLANDS,427
ERITREA,420
DJIBOUTI,415
FAROE ISLANDS,405
MAYOTTE,395
ESWATINI,387
DIEGO GARCIA,387
LIECHTENSTEIN,385
MAURITANIA,379
SAMOA,378
U.S. OUTLYING ISLANDS,367
TOGO,354
TURKS & CAICOS ISLANDS,350
WALLIS & FUTUNA,349
PAPUA NEW GUINEA,335
VANUATU,325
FALKLAND ISLANDS,321
ST. MARTIN,314
MICRONESIA,314
SINT MAARTEN,309
GUINEA,309
GAMBIA,294
LIBERIA,282
PALAU,281
ST. LUCIA,280
WESTERN SAHARA,277
SEYCHELLES,226
SIERRA LEONE,204
SOUTH GEORGIA & SOUTH SANDWICH ISLANDS,203
MONTSERRAT,200
TIMOR-LESTE,192
ST. VINCENT & GRENADINES,182
ÅLAND ISLANDS,179
SÃO TOMÉ & PRÍNCIPE,176
ST. KITTS & NEVIS,170
TONGA,165
LESOTHO,165
GUINEA-BISSAU,150
NORFOLK ISLAND,147
ST. PIERRE & MIQUELON,145
TUVALU,143
KIRIBATI,142
SOLOMON ISLANDS,134
ST. HELENA,131
SVALBARD & JAN MAYEN,127
NAURU,120
NIUE,119
ST. BARTHÉLEMY,112
TOKELAU,110
TRISTAN DA CUNHA,101
PSEUDO-BIDI,1
